Date,News,Advertorial/Partner
2024-04,3,1
2024-05,4,0
2024-06,5,0
2024-07,1,1
2024-09,2,0
2024-10,2,0
2024-11,3,0
2024-12,1,4
2025-01,3,7
2025-02,3,2
2025-03,1,1
2025-04,0,7
2025-05,1,1
2025-06,0,2
,,
